,session_start,session_end
113,2017-03-20 22:15:00,2017-03-20 22:20:00
114,2017-03-20 22:35:00,2017-03-20 22:35:00
115,2017-03-21 03:05:00,2017-03-25 01:45:00
116,2017-03-25 01:55:00,2017-03-25 07:25:00
117,2017-03-25 09:35:00,2017-03-25 10:50:00
118,2017-03-25 15:25:00,2017-03-25 15:25:00
119,2017-03-25 15:40:00,2017-03-25 15:45:00
120,2017-03-25 16:00:00,2017-03-25 16:00:00
121,2017-03-26 01:20:00,2017-03-26 02:20:00
122,2017-03-26 02:45:00,2017-03-26 02:45:00
123,2017-03-26 03:10:00,2017-03-26 03:10:00
124,2017-03-26 21:25:00,2017-03-26 21:30:00
125,2017-03-26 21:40:00,2017-03-26 21:40:00
126,2017-03-27 12:05:00,2017-03-27 12:15:00
127,2017-03-27 12:25:00,2017-03-27 12:25:00
128,2017-03-29 21:40:00,2017-03-29 22:25:00
129,2017-03-30 09:05:00,2017-03-30 09:05:00
130,2017-03-30 12:10:00,2017-03-30 12:10:00
131,2017-03-30 20:55:00,2017-03-31 00:10:00
132,2017-03-31 00:25:00,2017-03-31 00:40:00
133,2017-03-31 01:25:00,2017-03-31 01:25:00
134,2017-03-31 04:00:00,2017-03-31 04:10:00
135,2017-03-31 04:30:00,2017-03-31 04:30:00
136,2017-03-31 05:10:00,2017-03-31 05:10:00
137,2017-03-31 05:30:00,2017-03-31 05:30:00
138,2017-03-31 09:05:00,2017-03-31 09:05:00
139,2017-03-31 09:15:00,2017-03-31 09:15:00
140,2017-04-02 03:50:00,2017-04-02 03:50:00
141,2017-04-02 04:45:00,2017-04-02 04:45:00
142,2017-04-02 05:35:00,2017-04-02 05:35:00
143,2017-04-02 05:45:00,2017-04-02 05:50:00
144,2017-04-02 06:35:00,2017-04-02 06:35:00
145,2017-04-02 07:05:00,2017-04-02 07:05:00
146,2017-04-02 07:20:00,2017-04-02 07:20:00
147,2017-04-02 07:30:00,2017-04-02 07:30:00
148,2017-04-02 07:55:00,2017-04-02 07:55:00
149,2017-04-02 15:10:00,2017-04-02 15:15:00
150,2017-04-02 16:05:00,2017-04-02 16:05:00
151,2017-04-02 17:20:00,2017-04-02 17:20:00
152,2017-04-02 18:25:00,2017-04-02 18:25:00
153,2017-04-02 18:35:00,2017-04-02 18:35:00
154,2017-04-02 18:55:00,2017-04-02 18:55:00
155,2017-04-02 20:05:00,2017-04-02 20:05:00
156,2017-04-02 20:30:00,2017-04-02 20:35:00
157,2017-04-02 22:05:00,2017-04-02 22:05:00
158,2017-04-02 22:35:00,2017-04-02 22:35:00
159,2017-04-02 22:50:00,2017-04-02 22:50:00
160,2017-04-02 23:55:00,2017-04-02 23:55:00
161,2017-04-03 00:05:00,2017-04-03 00:10:00
162,2017-04-03 14:30:00,2017-04-03 14:30:00
163,2017-04-03 14:40:00,2017-04-03 15:45:00
164,2017-04-03 18:25:00,2017-04-03 18:25:00
165,2017-04-03 18:40:00,2017-04-03 18:40:00
166,2017-04-03 20:30:00,2017-04-03 20:30:00
167,2017-04-03 20:40:00,2017-04-03 20:50:00
168,2017-04-03 21:10:00,2017-04-03 21:20:00
169,2017-04-03 21:55:00,2017-04-03 21:55:00
170,2017-04-04 00:05:00,2017-04-04 00:05:00
171,2017-04-04 01:25:00,2017-04-04 01:25:00
172,2017-04-04 01:40:00,2017-04-04 01:40:00
173,2017-04-04 02:05:00,2017-04-04 02:10:00
174,2017-04-04 02:30:00,2017-04-04 02:30:00
175,2017-04-04 02:50:00,2017-04-04 03:00:00
176,2017-04-04 04:10:00,2017-04-04 04:10:00
177,2017-04-04 07:25:00,2017-04-04 07:35:00
178,2017-04-04 07:45:00,2017-04-04 07:50:00
179,2017-04-04 08:05:00,2017-04-04 08:10:00
180,2017-04-04 08:20:00,2017-04-04 08:25:00
181,2017-04-04 12:00:00,2017-04-04 12:05:00
182,2017-04-04 13:20:00,2017-04-04 13:20:00
183,2017-04-04 13:35:00,2017-04-04 13:35:00
184,2017-04-04 17:15:00,2017-04-04 17:40:00
185,2017-04-04 22:35:00,2017-04-04 22:40:00
186,2017-04-05 00:15:00,2017-04-05 00:15:00
187,2017-04-05 01:20:00,2017-04-05 01:20:00
188,2017-04-05 01:30:00,2017-04-05 03:00:00
189,2017-04-05 03:10:00,2017-04-07 01:45:00
190,2017-04-07 02:25:00,2017-04-07 02:25:00
191,2017-04-07 02:35:00,2017-04-07 02:35:00
192,2017-04-07 21:00:00,2017-04-07 21:10:00
193,2017-04-07 21:40:00,2017-04-07 21:40:00
194,2017-04-08 17:45:00,2017-04-08 17:50:00
195,2017-04-11 22:15:00,2017-04-11 22:15:00
196,2017-04-12 00:50:00,2017-04-12 00:50:00
197,2017-04-12 04:05:00,2017-04-12 04:10:00
198,2017-04-12 04:20:00,2017-04-12 05:00:00
199,2017-04-13 14:55:00,2017-04-13 14:55:00
200,2017-04-14 01:40:00,2017-04-14 01:45:00
201,2017-04-15 05:15:00,2017-04-15 05:15:00
202,2017-04-16 12:50:00,2017-04-16 12:50:00
203,2017-04-17 19:05:00,2017-04-17 19:55:00
204,2017-04-17 20:05:00,2017-04-17 20:10:00
205,2017-04-17 20:30:00,2017-04-17 20:30:00
206,2017-04-18 00:30:00,2017-04-18 00:50:00
207,2017-04-18 09:40:00,2017-04-18 10:40:00
208,2017-04-18 10:50:00,2017-04-18 11:10:00
209,2017-04-19 20:30:00,2017-04-19 20:55:00
210,2017-04-19 21:05:00,2017-04-19 22:30:00
211,2017-04-19 22:40:00,2017-04-19 23:20:00
212,2017-04-19 23:30:00,2017-04-19 23:50:00
213,2017-04-20 00:35:00,2017-04-20 00:55:00
214,2017-04-20 01:10:00,2017-04-20 01:20:00
215,2017-04-20 01:30:00,2017-04-20 01:40:00
216,2017-04-20 01:50:00,2017-04-20 01:50:00
217,2017-04-20 02:00:00,2017-04-20 02:30:00
218,2017-04-20 02:45:00,2017-04-20 02:50:00
219,2017-04-20 03:10:00,2017-04-20 03:25:00
220,2017-04-20 03:45:00,2017-04-20 03:50:00
